                                                                                                                                                                                                                                                                                                                              
                 MODELO                                  ANCHO                               N.º FILTROS                   M3/H            FONDO                                    N.º FILTROS   M3/H          FONDO                 N.º FILTRO   M3/H         FONDO                                                         
                                                                                                                                                                                                                                                                                                                              
      CAMPANA ÓPTIMA BÁSICA MURAL                        1000                                     2                        2000             800                                          2        2000           1000                     2        2000          1200                                                         
      CAMPANA ÓPTIMA BÁSICA MURAL                        1200                                     2                        2000             800                                          2        2000           1000                     2        2000          1200                                                         
      CAMPANA ÓPTIMA BÁSICA MURAL                        1500                                     3                        3000             800                                          3        3000           1000                     3        3000          1200                                                         
      CAMPANA ÓPTIMA BÁSICA MURAL                        1700                                     3                        3000             800                                          3        3000           1000                     3        3000          1200                                                         
      CAMPANA ÓPTIMA BÁSICA MURAL                        2000                                     4                        4000             800                                          4        4000           1000                     4        4000          1200                                                         
      CAMPANA ÓPTIMA BÁSICA MURAL                        2200                                     4                        4000             800                                          4        4000           1000                     4        4000          1200                                                         
      CAMPANA ÓPTIMA BÁSICA MURAL                        2400                                     4                        4000             800                                          4        4000           1000                     4        4000          1200                                                         
      CAMPANA ÓPTIMA BÁSICA MURAL                        2500                                     5                        5000             800                                          5        5000           1000                     5        5000          1200                                                         
      CAMPANA ÓPTIMA BÁSICA MURAL                        2700                                     5                        5000             800                                          5        5000           1000                     5        5000          1200                                                         
      CAMPANA ÓPTIMA BÁSICA MURAL                        2900                                     5                        5000             800                                          5        5000           1000                     5        5000          1200                                                         
      CAMPANA ÓPTIMA BÁSICA MURAL                        3000                                     6                        6000             800                                          6        6000           1000                     6        6000          1200                                                         
      CAMPANA ÓPTIMA BÁSICA MURAL                        3200                                     6                        6000             800                                          6        6000           1000                     6        6000          1200                                                         
      CAMPANA ÓPTIMA BÁSICA MURAL                        3400                                     6                        6000             800                                          6        6000           1000                     6        6000          1200                                                         
      CAMPANA ÓPTIMA BÁSICA MURAL                        3500                                     7                        7000             800                                          7        7000           1000                     7        7000          1200                                                         
      CAMPANA ÓPTIMA BÁSICA MURAL                        3600                                     7                        7000             800                                          6        7000           1000                     6        7000          1200                                                         
      CAMPANA ÓPTIMA BÁSICA MURAL                        3700                                     7                        7000             800                                          7        7000           1000                     7        7000          1200                                                         
      CAMPANA ÓPTIMA BÁSICA MURAL                        3900                                     7                        7000             800                                          7        7000           1000                     7        7000          1200                                                         
      CAMPANA ÓPTIMA BÁSICA MURAL                        4000                                     8                        8000             800                                          8        8000           1000                     8        8000          1200                                                         
      CAMPANA ÓPTIMA BÁSICA MURAL                        4200                                     8                        8000             800                                          8        8000           1000                     8        8000          1200                                                         
      CAMPANA ÓPTIMA BÁSICA MURAL                        4400                                     8                        8000             800                                          8        8000           1000                     8        8000          1200                                                         
      CAMPANA ÓPTIMA BÁSICA MURAL                        4500                                     9                        9000             800                                          9        9000           1000                     9        9000          1200                                                         
      CAMPANA ÓPTIMA BÁSICA MURAL                        4600                                     9                        9000             800                                          8        9000           1000                     8        9000          1200                                                         
      CAMPANA ÓPTIMA BÁSICA MURAL                        4700                                     9                        9000             800                                          9        9000           1000                     9        9000          1200                                                         
      CAMPANA ÓPTIMA BÁSICA MURAL                        4900                                     9                        9000             800                                          9        9000           1000                     9        9000          1200                                                         
      CAMPANA ÓPTIMA BÁSICA MURAL                        5000                                    10                       10000             800                                         10        10000          1000                     10      10000          1200                                                         
      CAMPANA ÓPTIMA BÁSICA MURAL                        5100                                     9                        9000             800                                          9        9000           1000                     9        9000          1200                                                         
      CAMPANA ÓPTIMA BÁSICA MURAL                        5200                                    10                       10000             800                                         10        10000          1000                     10      10000          1200                                                         
      CAMPANA ÓPTIMA BÁSICA MURAL                        5400                                    10                       10000             800                                         10        10000          1000                     10      10000          1200                                                         
      CAMPANA ÓPTIMA BÁSICA MURAL                        5500                                    11                       11000             800                                         11        11000          1000                     11      11000          1200                                                         
      CAMPANA ÓPTIMA BÁSICA MURAL                        5600                                    10                       10000             800                                         10        10000          1000                     10      10000          1200                                                         
      CAMPANA ÓPTIMA BÁSICA MURAL                        5700                                    11                       11000             800                                         11        11000          1000                     11      11000          1200                                                         
      CAMPANA ÓPTIMA BÁSICA MURAL                        5900                                    11                       11000             800                                         11        11000          1000                     11      11000          1200                                                         
      CAMPANA ÓPTIMA BÁSICA MURAL                        6000                                    12                       12000             800                                         12        12000          1000                     12      12000          1200                                                         
                                                                                                                                                                                                                                                                                                                              
                 MODELO                                  ANCHO                               N.º FILTROS                   M3/H            FONDO                                    N.º FILTROS   M3/H          FONDO                 N.º FILTRO   M3/H         FONDO          2200                                           
                                                                                                                                                                                                                                                                                                                              
     CAMPANA ÓPTIMA BÁSICA CENTRAL                       1200                                     4                        4000            1400                                          4        4000           1800                     4        4000          2200                                                         
