																
CAMPANA ÓPTIMA BÁSICA MURAL	ANCHO		FONDO 800				FONDO 1000				FONDO 1200					
		N.º FILTROS	REFERENCIA	PRECIO			REFERENCIA	PRECIO			REFERENCIA	PRECIO				
	1000	2	CEOPBM1080	814,53 €			CEOPBM1010	885,18 €			CEOPBM1012	971,82 €				
	1200	2	CEOPBM1280	892,46 €			CEOPBM1210	966,97 €			CEOPBM1212	1.061,80 €				
	1500	3	CEOPBM1580	1.014,47 €			CEOPBM1510	1.092,50 €			CEOPBM1512	1.206,87 €				
	1700	3	CEOPBM1780	1.102,79 €			CEOPBM1710	1.187,55 €			CEOPBM1712	1.308,26 €				
	2000	4	CEOPBM2080	1.232,24 €			CEOPBM2010	1.323,88 €			CEOPBM2012	1.457,19 €				
	2200	4	CEOPBM2280	1.298,51 €			CEOPBM2210	1.392,93 €			CEOPBM2212	1.533,38 €				
	2400	4	CEOPBM2480	1.613,14 €			CEOPBM2410	1.728,13 €			CEOPBM2412	1.885,88 €				
	2500	5	CEOPBM2580	1.427,49 €			CEOPBM2510	1.527,78 €			CEOPBM2512	1.680,07 €				
	2700	5	CEOPBM2780	1.735,15 €			CEOPBM2710	1.853,66 €			CEOPBM2712	2.030,95 €				
	2900	5	CEOPBM2980	1.823,47 €			CEOPBM2910	1.948,71 €			CEOPBM2912	2.132,34 €				
	3000	6	CEOPBM3080	1.857,16 €			CEOPBM3010	1.979,20 €			CEOPBM3012	2.176,02 €				
	3200	6	CEOPBM3280	1.945,48 €			CEOPBM3210	2.074,25 €			CEOPBM3212	2.277,41 €				
	3400	6	CEOPBM3480	2.033,81 €			CEOPBM3410	2.169,29 €			CEOPBM3412	2.378,80 €				
	3500	7	CEOPBM3580	2.074,93 €			CEOPBM3510	2.210,58 €			CEOPBM3512	2.426,34 €				
	3600	6	CEOPBM3680	2.333,81 €			CEOPBM3610	2.489,29 €			CEOPBM3612	2.709,97 €				
	3700	7	CEOPBM3780	2.163,25 €			CEOPBM3710	2.305,63 €			CEOPBM3712	2.527,73 €				
	3900	7	CEOPBM3980	2.229,53 €			CEOPBM3910	2.374,67 €			CEOPBM3912	2.603,92 €				
	4000	8	CEOPBM4080	2.292,70 €			CEOPBM4010	2.441,96 €			CEOPBM4012	2.676,66 €				
	4200	8	CEOPBM4280	2.358,97 €			CEOPBM4210	2.511,01 €			CEOPBM4212	2.752,85 €				
	4400	8	CEOPBM4480	2.425,25 €			CEOPBM4410	2.580,05 €			CEOPBM4412	2.829,04 €				
	4500	9	CEOPBM4580	2.487,94 €			CEOPBM4510	2.645,86 €			CEOPBM4512	2.899,54 €				
	4600	8	CEOPBM4680	2.754,49 €			CEOPBM4610	2.930,45 €			CEOPBM4612	3.202,88 €				
	4700	9	CEOPBM4780	2.554,22 €			CEOPBM4710	2.714,91 €			CEOPBM4712	2.975,73 €				
	4900	9	CEOPBM4980	2.876,50 €			CEOPBM4910	3.055,99 €			CEOPBM4912	3.347,95 €				
	5000	10	CEOPBM5080	2.683,19 €			CEOPBM5010	2.849,76 €			CEOPBM5012	3.122,43 €				
	5100	9	CEOPBM5180	2.964,82 €			CEOPBM5110	3.151,04 €			CEOPBM5112	3.449,33 €				
	5200	10	CEOPBM5280	3.013,37 €			CEOPBM5210	3.203,12 €			CEOPBM5212	3.500,74 €				
	5400	10	CEOPBM5480	3.094,27 €			CEOPBM5410	3.287,37 €			CEOPBM5412	3.598,27 €				
	5500	11	CEOPBM5580	3.135,38 €			CEOPBM5510	3.328,66 €			CEOPBM5512	3.645,81 €				
	5600	10	CEOPBM5680	3.160,54 €			CEOPBM5610	3.356,42 €			CEOPBM5612	3.674,45 €				
	5700	11	CEOPBM5780	3.223,71 €			CEOPBM5710	3.423,70 €			CEOPBM5712	3.747,20 €				
	5900	11	CEOPBM5980	3.267,94 €			CEOPBM5910	3.466,75 €			CEOPBM5912	3.798,19 €				
	6000	12	CEOPBM6080	3.353,15 €			CEOPBM6010	3.560,03 €			CEOPBM6012	3.896,13 €				
																
CAMPANA ÓPTIMA BÁSICA CENTRAL	ANCHO		Fondo 1400				Fondo 1800				Fondo 2200					
