"Unnamed: 0","Unnamed: 1","Unnamed: 2","Unnamed: 3","Unnamed: 4","Unnamed: 5","Unnamed: 6","Unnamed: 7","Unnamed: 8","Unnamed: 9","Unnamed: 10","Unnamed: 11","Unnamed: 12","Unnamed: 13","Unnamed: 14","Unnamed: 15","Unnamed: 16"
"CAMPANA ÓPTIMA BÁSICA MURAL","ANCHO","","FONDO 800","","","","FONDO 1000","","","","FONDO 1200","","","","",""
"","","N.º FILTROS","REFERENCIA","PRECIO","","","REFERENCIA","PRECIO","","","REFERENCIA","PRECIO","","","",""
"","1000","2","CEOPBM1080","814.53","","","CEOPBM1010","885.18","","","CEOPBM1012","971.82","","","",""
"","1200","2","CEOPBM1280","892.46","","","CEOPBM1210","966.97","","","CEOPBM1212","1061.8","","","",""
"","1500","3","CEOPBM1580","1014.47","","","CEOPBM1510","1092.5","","","CEOPBM1512","1206.87","","","",""
"","1700","3","CEOPBM1780","1102.79","","","CEOPBM1710","1187.55","","","CEOPBM1712","1308.26","","","",""
"","2000","4","CEOPBM2080","1232.24","","","CEOPBM2010","1323.88","","","CEOPBM2012","1457.19","","","",""
"","2200","4","CEOPBM2280","1298.51","","","CEOPBM2210","1392.93","","","CEOPBM2212","1533.38","","","",""
"","2400","4","CEOPBM2480","1613.14","","","CEOPBM2410","1728.13","","","CEOPBM2412","1885.88","","","",""
"","2500","5","CEOPBM2580","1427.49","","","CEOPBM2510","1527.78","","","CEOPBM2512","1680.07","","","",""
"","2700","5","CEOPBM2780","1735.15","","","CEOPBM2710","1853.66","","","CEOPBM2712","2030.95","","","",""
"","2900","5","CEOPBM2980","1823.47","","","CEOPBM2910","1948.71","","","CEOPBM2912","2132.34","","","",""
"","3000","6","CEOPBM3080","1857.16","","","CEOPBM3010","1979.2","","","CEOPBM3012","2176.02","","","",""
"","3200","6","CEOPBM3280","1945.48","","","CEOPBM3210","2074.25","","","CEOPBM3212","2277.41","","","",""
"","3400","6","CEOPBM3480","2033.81","","","CEOPBM3410","2169.29","","","CEOPBM3412","2378.8","","","",""
"","3500","7","CEOPBM3580","2074.93","","","CEOPBM3510","2210.58","","","CEOPBM3512","2426.34","","","",""
"","3600","6","CEOPBM3680","2333.81","","","CEOPBM3610","2489.29","","","CEOPBM3612","2709.97","","","",""
